Fuel Totals,MWH,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Gas,"21,768","1,037",918,"1,597","1,680","1,538","2,508","3,067","3,196","2,237","1,891","1,034","1,064",2016,
Gas-CC,"131,725","11,684","9,282","10,389","10,338","12,029","12,676","14,346","14,717","12,381","8,839","7,919","7,124",2016,
Hydro,"1,061",94,52,82,133,192,207,77,54,37,35,53,45,2016,
Nuclear,"42,091","3,688","3,556","3,776","3,651","2,698","3,588","3,712","3,710","3,597","3,005","3,306","3,803",2016,
Other,34,3,2,4,3,2,2,3,4,3,2,3,3,2016,
Solar,837,44,54,52,54,49,70,93,90,102,102,67,60,2016,
Wind,"53,146","4,100","4,686","5,208","4,408","4,738","3,464","5,266","3,412","3,638","4,982","4,251","4,995",2016,
Biomass,56,37,57,52,41,54,37,41,46,53,36,35,544,2017,
Coal,"9,732","6,902","7,069","8,744","9,922","10,901","11,642","11,211","10,758","9,417","9,273","9,569","115,141",2017,
Gas,747,480,825,975,"1,162","2,512","3,572","2,777","1,233",894,718,699,"16,594",2017,
Gas-CC,"7,425","6,626","7,982","7,680","9,325","12,708","15,827","15,393","11,957","9,688","7,330","10,308","122,250",2017,
Hydro,97,74,80,155,80,84,74,72,42,39,24,33,856,2017,
Nuclear,"3,804","3,423","3,291","1,844","3,543","2,826","2,794","3,353","3,505","3,044","3,286","3,791","38,504",2017,
Other,3,3,3,4,4,2,2,1,1,2,0,2,27,2017,
Solar,96,122,165,193,212,224,249,245,211,231,172,137,"2,258",2017,
Wind,"5,413","5,359","6,583","6,481","5,879","4,682","4,110","3,305","4,431","5,786","5,390","4,784","62,203",2017,
Biomass,56,43,38,33,66,63,67,58,31,32,32,42,563,2018,
Coal,"8,891","5,899","4,990","6,132","7,524","8,758","9,339","9,491","8,765","8,199","7,704","7,558","93,249",2018,
Gas,"1,411",661,884,951,"2,779","2,558","4,183","3,661","2,096","2,014","1,326",962,"23,487",2018,
Gas-CC,"10,690","10,134","9,923","8,801","12,136","14,854","17,438","16,202","13,775","10,404","8,767","10,594","143,719",2018,
Hydro,32,32,53,61,60,49,44,55,38,139,132,113,811,2018,
Nuclear,"3,809","3,433","3,528","2,783","3,746","3,593","3,706","3,622","3,589","2,909","3,297","3,111","41,125",2018,
Other,3,1,2,2,3,2,4,1,2,3,3,2,29,2018,
Solar,190,165,241,297,340,368,367,354,257,209,250,203,"3,240",2018,
Wind,"6,237","5,534","6,625","6,717","7,060","7,059","4,293","5,569","3,778","5,227","5,592","6,105","69,796",2018,
Biomass,35,31,47,28,31,29,34,75,34,27,25,26,421,2019,
Coal,"6,784","6,188","6,005","5,132","6,718","7,152","7,776","7,386","7,321","6,359","5,662","5,375","77,857",2019,
Gas,"1,083",889,"1,317","1,770","2,177","2,647","3,545","5,311","3,686","2,529","1,464",961,"27,379",2019,
Gas-CC,"11,978","9,206","10,300","8,948","12,571","15,262","17,314","18,580","16,100","11,590","10,375","12,165","154,391",2019,
Hydro,145,72,73,114,191,124,63,55,41,25,22,31,956,2019,
Nuclear,"3,230","3,431","3,723","3,252","2,934","3,601","3,705","3,691","3,582","2,877","3,498","3,790","41,314",2019,
Other,2,2,1,2,1,2,4,7,3,1,-1,-1,24,2019,
Solar,239,227,289,410,377,447,511,505,403,367,284,340,"4,398",2019,
Wind,"6,436","6,173","6,045","7,148","7,145","5,765","6,146","6,029","5,983","6,854","6,375","6,608","76,708",2019,
Biomass,25,35,27,26,24,25,20,70,25,25,26,25,353,2020,
Coal,"4,607","4,160","4,416","5,084","5,207","5,893","6,831","7,544","6,819","5,991","5,504","6,458","68,514",2020,
Gas,673,"1,250","1,911","1,375","1,603","1,997","3,642","4,220","1,568","2,143","1,245",807,"22,433",2020,
Gas-CC,"12,073","11,294","10,618","9,593","12,202","14,514","17,881","17,538","14,773","11,898","8,880","10,099","151,364",2020,
Hydro,54,56,96,83,77,50,50,53,58,27,17,16,639,2020,
Nuclear,"3,713","3,549","3,189","2,676","3,387","3,614","3,717","3,698","3,608","3,104","3,401","3,802","41,459",2020,
Other,-1,0,-1,0,0,0,0,1,1,2,0,1,2,2020,
Solar,361,398,449,595,910,"1,035","1,144","1,055",816,717,601,668,"8,749",2020,
Wind,"7,487","7,198","7,351","7,394","7,782","8,287","6,901","6,443","5,029","7,273","7,536","8,408","87,090",2020,
Biomass,22,17,22,19,18,29,68,75,65,65,18,17,434,2021,
Coal,"6,803","5,540","4,036","4,859","5,956","7,804","8,192","7,706","6,876","6,140","5,301","5,611","74,825",2021,
Gas,934,"2,843","1,235","2,053","1,193","2,925","3,476","3,520","2,672","2,730","1,446","1,078","26,106",2021,
Gas-CC,"10,744","10,455","7,023","8,119","10,228","14,621","16,735","17,045","14,538","11,360","8,425","9,021","138,314",2021,
Hydro,36,56,23,51,76,77,57,56,34,18,11,9,504,2021,
Nuclear,"3,801","3,317","3,369","2,988","3,748","3,099","3,705","3,696","3,595","2,178","2,984","3,790","40,270",2021,
Other,1,14,-1,2,-1,0,-1,-2,-2,-1,3,-3,10,2021,
Solar,738,686,"1,085","1,023","1,400","1,694","1,872","1,726","1,771","1,456","1,216","1,043","15,712",2021,
Wind,"7,702","5,996","10,483","8,895","9,104","6,960","5,370","7,375","6,767","8,608","8,543","9,599","95,403",2021,
Biomass,60,59,17,22,64,69,72,71,68,61,12,49,625,2022,
Coal,"6,564","6,000","5,171","5,096","5,117","6,670","7,089","6,829","6,328","5,634","5,518","5,486","71,501",2022,
Gas,"1,364","1,409","1,199","1,401","2,632","3,405","5,101","4,467","2,789","1,848","1,983","2,029","29,627",2022,
Gas-CC,"11,760","10,576","7,386","7,567","12,389","15,530","17,866","18,879","16,398","12,212","10,115","12,679","153,358",2022,
Hydro,13,13,24,35,50,67,57,26,17,15,12,15,344,2022,
Nuclear,"3,803","3,437","3,778","3,042","3,237","3,593","3,692","3,697","3,342","2,953","3,292","3,793","41,658",2022,
Other,29,31,36,43,55,50,56,51,52,60,57,51,570,2022,
Solar,"1,368","1,460","1,821","1,861","2,391","2,729","2,997","2,425","2,569","2,073","1,303","1,194","24,193",2022,
WSL,-33,-34,-41,-48,-62,-60,-63,-63,-64,-68,-68,-61,-665,2022,
Wind,"8,434","8,245","10,986","11,720","12,454","9,667","8,755","6,275","5,755","7,375","9,016","8,582","107,264",2022,
Biomass,19,31,0,0,0,0,0,0,0,0,0,0,50,2023,
Coal,"3,924","3,577",0,0,0,0,0,0,0,0,0,0,"7,501",2023,
Gas,"1,192","1,277",0,0,0,0,0,0,0,0,0,0,"2,469",2023,
Gas-CC,"10,894","10,295",0,0,0,0,0,0,0,0,0,0,"21,189",2023,
Hydro,17,24,0,0,0,0,0,0,0,0,0,0,41,2023,
Nuclear,"3,788","3,428",0,0,0,0,0,0,0,0,0,0,"7,216",2023,
Other,75,56,0,0,0,0,0,0,0,0,0,0,131,2023,
Solar,"1,542","1,471",0,0,0,0,0,0,0,0,0,0,"3,012",2023,
WSL,-88,-69,0,0,0,0,0,0,0,0,0,0,-157,2023,
Wind,"10,897","10,175",0,0,0,0,0,0,0,0,0,0,"21,072",2023,
